date_year,country,count,CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName
1990-01-01,Switzerland,1,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
1996-01-01,Switzerland,1,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
1997-01-01,Switzerland,4,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
1998-01-01,Switzerland,9,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
1999-01-01,Switzerland,1,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2000-01-01,Switzerland,3,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2001-01-01,Switzerland,5,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2002-01-01,Switzerland,2,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2003-01-01,Switzerland,4,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2004-01-01,Switzerland,4,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2005-01-01,Switzerland,4,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2006-01-01,Switzerland,19,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2007-01-01,Switzerland,10,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2008-01-01,Switzerland,5,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2009-01-01,Switzerland,4,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2010-01-01,Switzerland,7,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2011-01-01,Switzerland,5,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2012-01-01,Switzerland,1,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2013-01-01,Switzerland,6,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2015-01-01,Switzerland,1,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2016-01-01,Switzerland,2,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
2017-01-01,Switzerland,1,Switzerland,Bern,46.91666666666666,7.466667,CH,Europe
1990-01-01,United States of America,1,United States of America,Washington D.C.,38.883333,-77.0,US,Central America
1993-01-01,United States of America,7,United States of America,Washington D.C.,38.883333,-77.0,US,Central America
1994-01-01,United States of America,5,United States of America,Washington D.C.,38.883333,-77.0,US,Central America
1995-01-01,United States of America,19,United States of America,Washington D.C.,38.883333,-77.0,US,Central America
1996-01-01,United States of America,19,United States of America,Washington D.C.,38.883333,-77.0,US,Central America
1997-01-01,United States of America,28,United States of America,Washington D.C.,38.883333,-77.0,US,Central America
1998-01-01,United States of America,20,United States of America,Washington D.C.,38.883333,-77.0,US,Central America
