album,artist,country,label,year,date_year
Freak By Night,Cotumo,Germany,Zerinnerung,2006,2006-01-01
Progress,Alexander Kowalski,Germany,Kanzleramt,2002,2002-01-01
Cocoon Compilation I,Various,Germany,Cocoon Recordings,2009,2009-01-01
Welcome To My Club - 1st Issue,Secret Cinema,Netherlands,Gem Records (6),2010,2010-01-01
Time Axis Manipulation,Mokira,Sweden,Kontra-Musik,2011,2011-01-01
Fabric 71,Cassy,United Kingdom,Fabric (2),2013,2013-01-01
The Process,Oliver Koletzki,Germany,Resopal Schallware,2006,2006-01-01
Dinamo,Nathan Fake,Germany,Traum Schallplatten,2005,2005-01-01
Minimalism,Terrence Dixon,United States of America,Utensil Records,1995,1995-01-01
Elmenreich,Carsten Jost,Germany,Dial,2000,2000-01-01
Missing,The Wee DJs,United Kingdom,This Machine Is Broken,2013,2013-01-01
A Certain Kind EP,Carsten Jost,Germany,Klang Elektronik,2002,2002-01-01
Berlin Booty,Hobo (3),Canada,M_nus,2010,2010-01-01
Tracks On Delivery Part 4,Roman Flügel,Germany,Ongaku Musik,2002,2002-01-01
Crisis In Techno,*,Germany,R.I.P. Records,2005,2005-01-01
Knibbie Never Comes Alone / Loose Hooks,Loco Dice,Canada,M_nus,2011,2011-01-01
Borderline EP,Giuseppe Cennamo,Germany,Kammer Musik,2009,2009-01-01
Cap'N Can't Get Right,Friendly People,Spain,Cyclical Tracks,2007,2007-01-01
"QuOtE, SamplE, StEal",From Karaoke To Stardom,Germany,Rrygular,2008,2008-01-01
Circus / Repeat,Koen Lebens,Netherlands,Outland Records,2008,2008-01-01
Reversal,Daff,United Kingdom,Tactical,2000,2000-01-01
"<a href=""/master/255472-Agents-Of-Time/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Canada,Wagon Repair Ltd.,2010,2010-01-01
Metropolis 2,Jeff Mills,Germany,Tresor,2000,2000-01-01
Indy,Mihalis Safras,Greece,Material Series,2010,2010-01-01
Bakfom,XDB,Netherlands,Harbour City Sorrow,2011,2011-01-01
Corporation Triptech / Tell Nobody,Dan F,Hong Kong,Disuye,2007,2007-01-01
Recycle EP,Sleeparchive,Germany,Sleeparchive,2004,2004-01-01
Falling,A Guy Called Gerald,Germany,Highgrade Records,2011,2011-01-01
Chaotic Kitchen,Johnny Aemkel,Italy,Divided Recordings,2010,2010-01-01
Feuchtblatt Ist Trumpf,Rocco Branco,Germany,Platzhirsch Schallplatten,2005,2005-01-01
Introducing Infiné,Various,France,Infiné,2010,2010-01-01
Remixed,Ike Yard,France,Desire Records (4),2014,2014-01-01
CyberStyle,Tech Star,Japan,Bump Foot,2009,2009-01-01
Amoeba EP,Mhonocell,Sweden,Evil Deception,2001,2001-01-01
"<a class=""needs_changes"" href=""/master/528354-Sons-Of-The-South/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",United States of America,Teknotik Records,2000,2000-01-01
Metalgroove,Meta.83,Germany,Festplatten,2001,2001-01-01
Sunny Hills E.P.,Joel Mull,Germany,Audiomatique Recordings,2007,2007-01-01
Skychef,John Spring,Germany,Sub Static,2008,2008-01-01
Superhighway EP,Scanners,United Kingdom,Limbo Records,2001,2001-01-01
2010 (A Live Documentary),Paul Kalkbrenner,Germany,Paul Kalkbrenner Musik,2010,2010-01-01
Trusted EP,Peter Van Hoesen,Belgium,Time To Express,2008,2008-01-01
Empire In Decline / Third Piece,Peter Van Hoesen,Belgium,Time To Express,2008,2008-01-01
HGB EP,ROD (16),Germany,CLR (2),2012,2012-01-01
La Limonada De Pepe Bombilla,Luciano,Switzerland,Mental Groove Records,2003,2003-01-01
An Der Waterkant,Hanne & Lore,Germany,Monaberry,2009,2009-01-01
Hydrothermal,*,United Kingdom,Idle Hands,2011,2011-01-01
Ultimo Violetta / Mono Chroma,Davis & May,Germany,Maripoza,2007,2007-01-01
The Glue V. 1,Guillaume La Tortue,France,Taka,2000,2000-01-01
Positive Disorder,Marco Bailey,Belgium,MB Elektronics,2005,2005-01-01
Roots,Alejandro Vivanco,Germany,Leena Music,2010,2010-01-01
Scarp EP,Frankie (2),France,Faste Music,2008,2008-01-01
S100 EP,S100,Sweden,Stockholm LTD,2011,2011-01-01
All You Need,Miss Kittin,Germany,Mobilee,2011,2011-01-01
Instant Message EP,USRNM,United Kingdom,Photogram Recordings,2012,2012-01-01
SYM-002,Symptom (2),Finland,Symptom Records,2003,2003-01-01
Hook Up,Paul Brtschitsch,Germany,Leena Music,2007,2007-01-01
Limited #1,Graziano Avitabile,Germany,Platzhirsch Schallplatten,2004,2004-01-01
Rerecall / Bombaz / Ginza Line,Various,Germany,Supdub,2007,2007-01-01
Beatbox,Kane Roth,Switzerland,Numbolic Records,2012,2012-01-01
Inner Ear,Dan Berkson,United States of America,Intrinsic Design,2007,2007-01-01
Unclassified Computer Funk,[a]pendics.shuffle,United States of America,Orac Records,2005,2005-01-01
Hi & Low (Remixes),WhoMadeWho,Germany,Get Physical Music,2016,2016-01-01
Tearing Me Up,Bob Moses (5),United Kingdom,Domino,2016,2016-01-01
SND004 EP,*,Germany,Sundance,2012,2012-01-01
Elysians & Mille Filles,Ike Yard,United States of America,EverythingIsChemical,2012,2012-01-01
Raw Tracks For Smooth People,Various,Belgium,Doctor Vinyl Records,2010,2010-01-01
Into Your Life,*,United Kingdom,The Republic Of Desire,2006,2006-01-01
Big Onion,Detroit Grand Pubahs,Germany,Poker Flat Recordings,2004,2004-01-01
"<a class=""needs_changes"" href=""/master/106391-Fuckshuffle-EP/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Canada,M_nus,2007,2007-01-01
Die Liebe,Stimming,Germany,Terminal M,2008,2008-01-01
Molotov EP,Joseph Capriati,Italy,Analytic Trail,2008,2008-01-01
