date_year,country,count
1990-01-01,Switzerland,1
1990-01-01,United States of America,1
1991-01-01,United Kingdom,1
1992-01-01,Canada,2
1992-01-01,Germany,1
1992-01-01,Italy,1
1992-01-01,Japan,1
1993-01-01,United States of America,7
1993-01-01,Belgium,5
1993-01-01,Canada,2
1993-01-01,Finland,2
1993-01-01,Germany,2
1994-01-01,United Kingdom,8
1994-01-01,Germany,6
1994-01-01,Finland,5
1994-01-01,Netherlands,5
1994-01-01,United States of America,5
1994-01-01,Belgium,3
1994-01-01,Canada,1
1994-01-01,Italy,1
1995-01-01,United States of America,19
1995-01-01,Germany,18
1995-01-01,United Kingdom,14
1995-01-01,Belgium,5
1995-01-01,Sweden,5
1995-01-01,Denmark,4
1995-01-01,Austria,3
1995-01-01,Finland,3
1995-01-01,Italy,2
1995-01-01,Netherlands,2
1995-01-01,Canada,1
1995-01-01,France,1
1995-01-01,Greece,1
1995-01-01,Japan,1
1995-01-01,Slovenia,1
1996-01-01,Germany,44
1996-01-01,United Kingdom,23
1996-01-01,United States of America,19
1996-01-01,Belgium,13
1996-01-01,Sweden,10
1996-01-01,Denmark,3
1996-01-01,Austria,2
1996-01-01,Australia,1
1996-01-01,Canada,1
1996-01-01,Finland,1
1996-01-01,France,1
1996-01-01,Greece,1
1996-01-01,Japan,1
1996-01-01,Netherlands,1
1996-01-01,Portugal,1
1996-01-01,Slovenia,1
1996-01-01,Switzerland,1
1997-01-01,Germany,45
1997-01-01,United Kingdom,35
1997-01-01,United States of America,28
1997-01-01,Belgium,9
1997-01-01,Netherlands,6
1997-01-01,Spain,5
1997-01-01,Switzerland,4
1997-01-01,Finland,3
1997-01-01,France,3
1997-01-01,Canada,2
1997-01-01,Denmark,2
1997-01-01,Sweden,2
1997-01-01,Austria,1
1997-01-01,Greece,1
1997-01-01,Iceland,1
1997-01-01,Japan,1
1997-01-01,New Zealand,1
1997-01-01,Portugal,1
1997-01-01,Slovenia,1
1998-01-01,Germany,51
1998-01-01,United Kingdom,25
1998-01-01,United States of America,20
1998-01-01,Switzerland,9
1998-01-01,Canada,7
1998-01-01,Belgium,6
1998-01-01,France,3
1998-01-01,Netherlands,3
1998-01-01,Sweden,3
1998-01-01,Denmark,2
1998-01-01,Finland,2
1998-01-01,Japan,2
1998-01-01,Poland,2
1998-01-01,Spain,2
1998-01-01,Austria,1
1998-01-01,Iceland,1
1998-01-01,Portugal,1
1999-01-01,Germany,62
1999-01-01,United States of America,32
1999-01-01,United Kingdom,24
1999-01-01,Belgium,6
1999-01-01,Canada,4
1999-01-01,Japan,4
1999-01-01,Sweden,4
1999-01-01,France,3
1999-01-01,Australia,2
1999-01-01,Chile,2
1999-01-01,Denmark,1
1999-01-01,Italy,1
1999-01-01,Netherlands,1
1999-01-01,New Zealand,1
1999-01-01,Poland,1
1999-01-01,Portugal,1
1999-01-01,Switzerland,1
1999-01-01,Turkey,1
2000-01-01,Germany,102
2000-01-01,United Kingdom,27
2000-01-01,United States of America,15
2000-01-01,Canada,9
2000-01-01,France,7
2000-01-01,Sweden,5
2000-01-01,Japan,4
2000-01-01,Switzerland,3
2000-01-01,Belgium,2
2000-01-01,Czech Republic,2
2000-01-01,Argentina,1
2000-01-01,Australia,1
2000-01-01,Netherlands,1
2000-01-01,Poland,1
2000-01-01,Russia,1
2001-01-01,Germany,89
2001-01-01,United Kingdom,25
2001-01-01,United States of America,24
2001-01-01,Canada,16
2001-01-01,Sweden,5
2001-01-01,Switzerland,5
2001-01-01,Japan,4
2001-01-01,Belgium,3
2001-01-01,Russia,3
2001-01-01,France,2
2001-01-01,Iceland,2
2001-01-01,Austria,1
2001-01-01,Denmark,1
2001-01-01,New Zealand,1
2001-01-01,Portugal,1
2001-01-01,Slovenia,1
2002-01-01,Germany,84
2002-01-01,United States of America,31
2002-01-01,United Kingdom,24
2002-01-01,France,8
2002-01-01,Sweden,7
2002-01-01,Canada,6
2002-01-01,Italy,5
2002-01-01,Netherlands,4
2002-01-01,Japan,3
2002-01-01,Spain,3
2002-01-01,Austria,2
2002-01-01,Belgium,2
2002-01-01,Ireland,2
2002-01-01,Portugal,2
2002-01-01,Switzerland,2
2002-01-01,Finland,1
2003-01-01,Germany,47
2003-01-01,United States of America,18
2003-01-01,United Kingdom,9
2003-01-01,Canada,8
2003-01-01,France,8
2003-01-01,Switzerland,4
2003-01-01,Netherlands,3
2003-01-01,Belgium,2
2003-01-01,Australia,1
2003-01-01,Finland,1
2003-01-01,Italy,1
2003-01-01,Mexico,1
2003-01-01,Norway,1
2003-01-01,Poland,1
2003-01-01,Spain,1
2003-01-01,Sweden,1
2004-01-01,Germany,69
2004-01-01,United States of America,23
2004-01-01,Canada,14
2004-01-01,United Kingdom,14
2004-01-01,France,9
2004-01-01,Denmark,5
2004-01-01,Switzerland,4
2004-01-01,Japan,3
2004-01-01,Russia,3
2004-01-01,Spain,3
2004-01-01,Netherlands,2
2004-01-01,Ireland,1
2004-01-01,Poland,1
2004-01-01,Sweden,1
2005-01-01,Germany,105
2005-01-01,United States of America,33
2005-01-01,United Kingdom,27
2005-01-01,Canada,15
2005-01-01,France,14
2005-01-01,Denmark,9
2005-01-01,Belgium,7
2005-01-01,Finland,5
2005-01-01,Spain,5
2005-01-01,Sweden,4
2005-01-01,Switzerland,4
2005-01-01,Italy,3
2005-01-01,Poland,3
2005-01-01,Greece,2
2005-01-01,Hong Kong,2
2005-01-01,Australia,1
2005-01-01,Japan,1
2005-01-01,Netherlands,1
2005-01-01,Portugal,1
2005-01-01,Russia,1
2006-01-01,Germany,257
2006-01-01,United Kingdom,61
2006-01-01,United States of America,55
2006-01-01,Netherlands,25
2006-01-01,Canada,24
2006-01-01,Spain,23
2006-01-01,Switzerland,19
2006-01-01,Italy,15
2006-01-01,Sweden,13
2006-01-01,France,12
2006-01-01,Belgium,11
2006-01-01,Denmark,9
2006-01-01,Finland,4
2006-01-01,Japan,4
2006-01-01,Poland,3
2006-01-01,Australia,2
2006-01-01,Greece,2
2006-01-01,Russia,2
2006-01-01,Austria,1
2006-01-01,Hong Kong,1
2006-01-01,Portugal,1
2007-01-01,Germany,329
2007-01-01,United Kingdom,90
2007-01-01,United States of America,83
2007-01-01,Canada,36
2007-01-01,France,34
2007-01-01,Netherlands,26
2007-01-01,Belgium,23
2007-01-01,Italy,23
2007-01-01,Spain,22
2007-01-01,Sweden,11
2007-01-01,Switzerland,10
2007-01-01,Denmark,9
2007-01-01,Japan,5
2007-01-01,Brazil,3
2007-01-01,Finland,3
2007-01-01,Greece,3
2007-01-01,Portugal,3
2007-01-01,Czech Republic,2
2007-01-01,Norway,2
2007-01-01,Poland,2
2007-01-01,Russia,2
2007-01-01,Serbia,2
2007-01-01,Australia,1
2007-01-01,Austria,1
2007-01-01,Croatia,1
2007-01-01,Hong Kong,1
2008-01-01,Germany,314
2008-01-01,United Kingdom,74
2008-01-01,United States of America,59
2008-01-01,Italy,42
2008-01-01,Canada,29
2008-01-01,France,27
2008-01-01,Netherlands,26
2008-01-01,Spain,21
2008-01-01,Belgium,18
2008-01-01,Russia,13
2008-01-01,Denmark,11
2008-01-01,Argentina,10
2008-01-01,Greece,8
2008-01-01,Sweden,8
2008-01-01,Australia,7
2008-01-01,Portugal,6
2008-01-01,Switzerland,5
2008-01-01,Czech Republic,3
2008-01-01,Georgia,2
2008-01-01,Poland,1
2009-01-01,Germany,289
2009-01-01,United Kingdom,69
2009-01-01,United States of America,42
2009-01-01,Italy,40
2009-01-01,Canada,22
2009-01-01,Netherlands,22
2009-01-01,France,21
2009-01-01,Spain,15
2009-01-01,Belgium,12
2009-01-01,Sweden,9
2009-01-01,Argentina,8
2009-01-01,Greece,7
2009-01-01,Japan,6
2009-01-01,Portugal,4
2009-01-01,Switzerland,4
2009-01-01,Denmark,3
2009-01-01,Australia,2
2009-01-01,Austria,2
2009-01-01,Chile,1
2009-01-01,Honduras,1
2009-01-01,Hong Kong,1
2009-01-01,Hungary,1
2009-01-01,Ireland,1
2009-01-01,Poland,1
2009-01-01,Romania,1
2009-01-01,Russia,1
