SuR;Rgrp;Org;Recommendation;RS;Rgrp;Org;Response;Action;Issue;Session
Andorra;WEOG;OIF;Carefully monitor the impact of legislation, policies and programmes to eliminate inequality between women and men, and take steps to ensure that equal rights are enjoyed de facto;Azerbaijan;EEG;OIC, CIS;Supported;4;Women's rights;9
Andorra;WEOG;OIF;Enact and implement legislation that unambiguously prohibits all corporal punishment in the home ;Netherlands;WEOG;EU;Supported;5;Rights of the Child,Torture and other CID treatment;9
Andorra;WEOG;OIF;Consider withdrawing its declaration made upon ratification of the Convention on the Rights of the Child, and continue and complete its review of legislation to ensure full compliance with the Convention;Brazil;GRULAC;OAS, OEI;Supported;3;International instruments,Rights of the Child;9
Andorra;WEOG;OIF;Continue to develop legislation and policies to ensure effective gender equality and to combat gender violence;Spain;WEOG;EU, OEI;Supported;2;Women's rights;9
Andorra;WEOG;OIF;Take the gender perspective into consideration in the design of future policies and programmes;Hungary;EEG;EU;Supported;4;Women's rights;9
Andorra;WEOG;OIF;Take steps to improve cooperation with non-governmental organizations active in the protection of children at the national and international levels;Hungary;EEG;EU;Supported;4;Civil society,Rights of the Child;9
Andorra;WEOG;OIF;Take all necessary measures to fully implement the Convention on the Rights of the Child, including by prohibiting corporal punishment of children in all settings;Sweden;WEOG;EU;Supported;5;International instruments,Rights of the Child,Torture and other CID treatment;9
Andorra;WEOG;OIF;Step up efforts to implement the resolutions on the World Programme for Human Rights Education, including through the preparation of a national plan and reports;Slovenia;EEG;EU;Supported;4;Human rights education and training;9
Andorra;WEOG;OIF;Intensify cooperation between the Inter-Religious Dialogue Group and the National Andorra Commission for the United Nations Educational, Scientific and Cultural Organization;Algeria;Africa;AU, OIC, AL;Supported;4;Freedom of religion and belief;9
Andorra;WEOG;OIF;Continue to develop measures against domestic violence, maltreatment and abuse, including sexual abuse, and, as recommended by the Committee on the Rights of the Child, explicitly prohibit corporal punishment, not only in schools, but also in the family ;Spain;WEOG;EU, OEI;Supported;2;Rights of the Child,Torture and other CID treatment,Treaty bodies;9
Andorra;WEOG;OIF;Consider conducting studies on domestic violence, maltreatment and abuse within the family as well as intimidation at schools, in accordance with the recommendations made by the Committee on the Rights of the Child;Chile;GRULAC;OAS, OEI;Supported;3;Rights of the Child,Treaty bodies;9
Andorra;WEOG;OIF;Continue considering the incorporation of a gender perspective into policies and programmes, in accordance with what was recommended by the Committee on the Elimination of Discrimination against Women;Chile;GRULAC;OAS, OEI;Supported;2;Treaty bodies,Women's rights;9
Andorra;WEOG;OIF;Continue efforts in the submission of periodic reports, including by utilizing the potential offered by international cooperation and technical assistance ;Algeria;Africa;AU, OIC, AL;Supported;4;Technical assistance and cooperation,Treaty bodies;9
Andorra;WEOG;OIF;Facilitate possible future visits by mandate holders;Hungary;EEG;EU;Supported;4;Special procedures;9
Andorra;WEOG;OIF;Extend a standing invitation to all special procedures of the Human Rights Council ;Brazil;GRULAC;OAS, OEI;Supported;5;Special procedures;9
Andorra;WEOG;OIF;Extend a standing invitation to all special procedures of the Human Rights Council ;Chile;GRULAC;OAS, OEI;Supported;5;Special procedures;9
Andorra;WEOG;OIF;Extend a standing invitation to all special procedures of the Human Rights Council ;Latvia;EEG;EU;Supported;5;Special procedures;9
Andorra;WEOG;OIF;Extend a standing invitation to all special procedures of the Human Rights Council ;United Kingdom;WEOG;EU, Commonwealth;Supported;5;Special procedures;9
Andorra;WEOG;OIF;Step up efforts to respond to questionnaires sent by special procedures mandate holders, and report to the United Nations treaty bodies in a more timely manner in order to thus fulfil its international obligations;Slovenia;EEG;EU;Supported;4;Special procedures,Treaty bodies;9
Andorra;WEOG;OIF;Consistent with article 87 of the Labour Code, proceed with the creation of a distinctive equality mark that encourages enterprises to promote a policy of equal pay for men and women;Mexico;GRULAC;OAS, OEI, ACS;Supported;5;Labour,Women's rights;9
Andorra;WEOG;OIF;Take measures to eradicate traditional stereotypes of women, especially through educational programmes, and apply a gender perspective in the design of future policies and programmes;Netherlands;WEOG;EU;Supported;4;Human rights education and training,Women's rights;9
Andorra;WEOG;OIF;Share the experiences of the special tool for gender equality, the - equality mark -, with other countries;Hungary;EEG;EU;Supported;1;Women's rights;9
Andorra;WEOG;OIF;Strengthen educational measures and intensify cooperation with civil society organizations and the media, with a view to eradicating traditional stereotypes that perpetuate discrimination and violence against women;Argentina;GRULAC;OAS, OEI;Supported;4;Civil society,Human rights education and training,Women's rights;9
Andorra;WEOG;OIF;Adapt labour legislation and improve existing practices with a view to ensuring equal pay for women and overcoming any pay inequalities;Argentina;GRULAC;OAS, OEI;Supported;5;Women's rights;9
