link,location,make,model,name
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=173&acctid=1164,"Benton, TN",remington,11-87 premier,remington 11-87 premier semi-automatic 12 gauge shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=666&acctid=11227,"Nashville, TN",remington,700,remington 700 .270
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=671&acctid=11227,"Nashville, TN",remington,700,"remington model 700, .270"
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=166&acctid=1164,"Benton, TN",smith and wesson,sd9 ve,smith and wesson sd9 ve 9mm semi-auto handgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=161&acctid=1164,"Benton, TN",eaa,windicator ,eaa windicator .38 special / .357 magnum revolver
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=172&acctid=1164,"Benton, TN",remington,870 express magnum,remington 870 express magnum 12 gauge shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=669&acctid=11227,"Nashville, TN",remington,742,"remington model 742, 30-06 springfield"
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=703&acctid=11227,"Nashville, TN",ruger,.243,ruger .243
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=170&acctid=1164,"Benton, TN",boito,br7,boito br7 20 gauge double barrel shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=702&acctid=11227,"Nashville, TN",mossberg,model 9200,mossberg model 9200 12ga
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=670&acctid=11227,"Nashville, TN",savage,110,"savage 110, .30-06"
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=174&acctid=1164,"Benton, TN",mossberg,715t,mossberg 715t .22lr tactical rifle
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=165&acctid=1164,"Benton, TN",charter arms,pathfinder,charter arms pathfinder .22 lr revolver
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=167&acctid=1164,"Benton, TN",hi-standard,double nine w-104,hi-standard double nine w-104 .22lr revolver
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=168&acctid=1164,"Benton, TN",hi-standard,double nine w-104,hi-standard double nine w-104 .22lr revolver
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=162&acctid=1164,"Benton, TN",beretta,bobcat 21a,beretta bobcat model 21a -- .22 lr semi-auto handgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=163&acctid=1164,"Benton, TN",taurus,pt 738,"taurus tcp pt 738, .380 acp semi-auto handgun"
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=675&acctid=11227,"Nashville, TN",remington,870;12 gu.pump,remington 870 12ga
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=697&acctid=11227,"Nashville, TN",ten point,invader g3,ten point wicked ridge invader g3 crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=171&acctid=1164,"Benton, TN",marlin firearms company,model 101,marlin model 101 bolt action .22 lr rifle
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=691&acctid=11227,"Nashville, TN",bow tech,carbon icon,bow tech carbon icon bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=164&acctid=1164,"Benton, TN",sterling arms,.25 stainless,sterling .25 caliber stainless semi-auto hangun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=673&acctid=11227,"Nashville, TN",remington,870; 12 gu.pump,remington 870 12ga
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=668&acctid=11227,"Nashville, TN",ruger,,ruger 10/22
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=688&acctid=11227,"Nashville, TN",bow tech,stryker,bow tech stryker crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=693&acctid=11227,"Nashville, TN",pse,tac elite,pse tac elite crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=684&acctid=11227,"Nashville, TN",pse,viper copperhead,pse viper copperhead crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=683&acctid=11227,"Nashville, TN",horton,,horton crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=696&acctid=11227,"Nashville, TN",parker,,parker crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=679&acctid=11227,"Nashville, TN",barnett,quad 400,barnett quad 400 crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=677&acctid=11227,"Nashville, TN",mission,riot,mission riot compound bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=676&acctid=11227,"Nashville, TN",barnett,quad 400,barnett quad 400 crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=674&acctid=11227,"Nashville, TN",remington,870; 12 gu.pump,remington 870 12ga
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=685&acctid=11227,"Nashville, TN",barnett,rhino,barnett rhino crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=692&acctid=11227,"Nashville, TN",barnett,brotherhood m4,barnett brotherhood m4 crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=687&acctid=11227,"Nashville, TN",center point,,center point crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=690&acctid=11227,"Nashville, TN",excalibur,equinox,excalibur real tree equinox crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=689&acctid=11227,"Nashville, TN",carbon express,x-force 350,carbon express x-force 350 crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=701&acctid=11227,"Nashville, TN",bpi,new frontier,bpi new frontier  beartooth magnum .50 muzzle loader
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=699&acctid=11227,"Nashville, TN",matthews,,matthews compound bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=698&acctid=11227,"Nashville, TN",matthews,,matthews compound bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=667&acctid=11227,"Nashville, TN",cva,wolf,cva wolf .50 muzzleloader
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=681&acctid=11227,"Nashville, TN",horton,,horton crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=672&acctid=11227,"Nashville, TN",new england,12 ga sb1011,new england firearms 12 ga shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=686&acctid=11227,"Nashville, TN",jaguar,,jaguar crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=169&acctid=1164,"Benton, TN",spesco corporation,151,spesco model 151 .410 gauge shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=682&acctid=11227,"Nashville, TN",ten point,woodsman,ten point woodsman crossbow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=704&acctid=11227,"Nashville, TN",smith and wesson,eastfield 916,smith and wesson eastfield 916
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=700&acctid=11227,"Nashville, TN",alpine,ridge runner,alpine ridge runner bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=695&acctid=11227,"Nashville, TN",bow tech,diamond razor edge,bow tech diamond razor edge bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=694&acctid=11227,"Nashville, TN",high country,tss,high country tss bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=680&acctid=11227,"Nashville, TN",bear,crux,bear crux compound bow
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=678&acctid=11227,"Nashville, TN",bear,the truth,bear the truth bow
