link,location,make,model,name
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=173&acctid=1164,"Benton, TN",Remington,11-87 Premier,Remington 11-87 Premier Semi-Automatic 12 Gauge Shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=161&acctid=1164,"Benton, TN",EAA,Windicator ,EAA Windicator .38 Special / .357 Magnum Revolver
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=166&acctid=1164,"Benton, TN",Smith and Wesson,SD9 VE,Smith and Wesson SD9 VE 9mm Semi-Auto Handgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=170&acctid=1164,"Benton, TN",Boito,BR7,Boito BR7 20 Gauge Double Barrel Shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=688&acctid=11227,"Nashville, TN",BOW TECH,STRYKER,BOW TECH STRYKER CROSSBOW
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=172&acctid=1164,"Benton, TN",Remington,870 Express Magnum,Remington 870 Express Magnum 12 Gauge Shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=174&acctid=1164,"Benton, TN",Mossberg,715T,Mossberg 715T .22LR Tactical Rifle
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=162&acctid=1164,"Benton, TN",Beretta,Bobcat 21A,Beretta Bobcat Model 21A -- .22 LR Semi-Auto Handgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=679&acctid=11227,"Nashville, TN",BARNETT,QUAD 400,BARNETT QUAD 400 CROSSBOW
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=165&acctid=1164,"Benton, TN",Charter Arms,Pathfinder,Charter Arms Pathfinder .22 LR Revolver
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=173&acctid=1164,"Benton, TN",Remington,11-87 Premier,Remington 11-87 Premier Semi-Automatic 12 Gauge Shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=161&acctid=1164,"Benton, TN",EAA,Windicator ,EAA Windicator .38 Special / .357 Magnum Revolver
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=166&acctid=1164,"Benton, TN",Smith and Wesson,SD9 VE,Smith and Wesson SD9 VE 9mm Semi-Auto Handgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=170&acctid=1164,"Benton, TN",Boito,BR7,Boito BR7 20 Gauge Double Barrel Shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=688&acctid=11227,"Nashville, TN",BOW TECH,STRYKER,BOW TECH STRYKER CROSSBOW
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=172&acctid=1164,"Benton, TN",Remington,870 Express Magnum,Remington 870 Express Magnum 12 Gauge Shotgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=174&acctid=1164,"Benton, TN",Mossberg,715T,Mossberg 715T .22LR Tactical Rifle
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=162&acctid=1164,"Benton, TN",Beretta,Bobcat 21A,Beretta Bobcat Model 21A -- .22 LR Semi-Auto Handgun
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=679&acctid=11227,"Nashville, TN",BARNETT,QUAD 400,BARNETT QUAD 400 CROSSBOW
https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=165&acctid=1164,"Benton, TN",Charter Arms,Pathfinder,Charter Arms Pathfinder .22 LR Revolver
