album,year,most_similar_album,disimilarity_magnitude,similarity_magnitude,most_similar_album_year
Songs Of Leonard Cohen,1967,Old Ideas,0.9662464912831709,0.03375350871682914,2012
Songs From A Room,1969,Old Ideas,0.9524506704390611,0.047549329560938935,2012
Songs Of Love And Hate,1971,Old Ideas,0.9381471394110977,0.06185286058890227,2012
New Skin For The Old Ceremony,1974,The Future,0.9529881086704153,0.04701189132958472,1992
Death Of A Ladies' Man,1977,Old Ideas,0.9606697566951619,0.03933024330483814,2012
Recent Songs,1979,The Future,0.9645965437555455,0.03540345624445451,1992
Various Positions,1984,The Future,0.959383343065405,0.04061665693459504,1992
I'm Your Man,1988,The Future,0.9507507252499666,0.04924927475003338,1992
The Future,1992,Ten New Songs,0.9474954365411723,0.0525045634588277,2001
Ten New Songs,2001,The Future,0.9474954365411723,0.0525045634588277,1992
Dear Heather,2004,The Future,0.9644691196534088,0.03553088034659124,1992
Old Ideas,2012,Songs Of Love And Hate,0.9381471394110977,0.06185286058890227,1971
Popular Problems,2014,Old Ideas,0.9502485840057058,0.049751415994294224,2012
You Want It Darker,2016,Old Ideas,0.9503164092642302,0.04968359073576978,2012
