Company name;Sector;Country headquarters;Country of alleged abuses;Day;Month;Year;Summary;Issue;Responded;Link to company response;Link to company page
7NG;Agriculture & livestock;Cambodia;Cambodia;24;Jan;2009;Evictions at Dey Krahorm in Phnom Penh, Cambodia;Displacement;No;https://www.business-humanrights.org/en/7ng-did-not-respond-to-7ng-construction-forcibly-evicts-152-families-from-dey-krahorm-phnom-penh;https://www.business-humanrights.org/en/7ng
A.P. Moller - Maersk Group;Shipping, ship-building & ship-scrapping;Denmark;India;24;Oct;2016;"Report highlights unsafe practices at Maersk's ship recyclers in Alang, India; Maersk admits gaps";Health: General (including workplace health & safety);Yes;https://www.business-humanrights.org/en/maersk-response;https://www.business-humanrights.org/en/ap-moller-maersk-group
AAK;Food & beverage | Palm trees & oil;Sweden;Indonesia | Malaysia;09;Apr;2017;"Scandinavian banks linked to abuse of indigenous peoples’ rights in Borneo; banks respond";Indigenous peoples;Yes;https://www.business-humanrights.org/en/aak-response;https://www.business-humanrights.org/en/aak
ABB;Engineering;Switzerland;Israel & Occupied Palestinian Territories;19;Jun;2018;OPT: Mixed response from multinationals in Israeli solar sector accused of contributing to Palestinian displacement;Security issues & conflict zones: General;Yes;https://www.business-humanrights.org/en/abb-responds-to-concerns-regarding-its-involvement-in-israeli-solar-fields;https://www.business-humanrights.org/en/abb
ABB;Engineering;Switzerland;China;17;Jan;2007;China labour law reform;Labour: General;No;https://www.business-humanrights.org/en/abb-did-not-respond-to-labour-groups-raise-concerns-about-positions-of-multinational-their-business-organizations-regarding-china’s-proposed-labour-law-reform;https://www.business-humanrights.org/en/abb
ABB;Engineering;Switzerland;Sudan;05;May;2006;Three killed in Sudan protest over Nile dam;Injuries | Killings | Security issues & conflict zones: General;Yes;https://www.business-humanrights.org/en/response-by-abb-3-civilians-killed-during-protests-over-merowe-dam;https://www.business-humanrights.org/en/abb
ABB;Engineering;Switzerland;Sudan;26;Apr;2006;Divest Sudan Blood Stocks? - Mission Statement;"Poverty/Development/Economic & social rights: General | Divestment | Socially-responsible investing & shareholder activism | Security issues & conflict zones: General | Disclosure/use of payments to govts. | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-abb-divest-sudan-campaign-calls-on-companies-including-abb-to-withdraw-from-sudan-to-avoid-complicity-in-abuses;https://www.business-humanrights.org/en/abb
ABB;Engineering;Switzerland;Sudan;11;May;2005;Sudan: Report raises concerns about environmental & social impacts of Merowe/Hamadab Dam project (refers to ABB, Alstom, Lahmeyer International);Displacement | Poverty/Development/Economic & social rights: General | Environment: General | Access to water | Impact assessment;Yes;https://www.business-humanrights.org/en/response-by-abb-international-rivers-network-corner-house-say-merowe-dam-in-which-abb-is-involved-will-displace-thousands-has-not-been-adequately-assessed-for-environmental-impact;https://www.business-humanrights.org/en/abb
Abbott Laboratories;Pharmaceutical;USA;South Africa;10;Mar;2014;Allegations of pharmaceutical group's planned opposition to So. Africa reforms to increase access to medicines;Access to medicines;No;https://www.business-humanrights.org/en/abbott-laboratories-did-not-respond-to-re-alleged-advocacy-campaign-by-ipasa-opposing-south-africa’s-efforts-to-introduce-intellectual-property-reforms-aimed-at-increasing-access;https://www.business-humanrights.org/en/abbott-laboratories
Abbott Laboratories;Pharmaceutical;USA;Congo - Democratic Republic of;16;Jan;2013;Company responses re lawsuit against SEC over final rule accompanying section 1502 of Dodd-Frank Act;"Security issues & conflict zones: General | Supply chain/""Fair trade""";No;https://www.business-humanrights.org/en/abbott-laboratories-did-not-respond-to-global-witness-issues-new-call-for-more-companies-to-clarify-positions-on-conflict-minerals-lawsuit;https://www.business-humanrights.org/en/abbott-laboratories
Abbott Laboratories;Pharmaceutical;USA;Brazil | India;11;Jan;2012;"""B-HRD Project Launches Special Feature on 'Big Pharma' and Access to HIV/AIDS Drugs""";Access to medicines;Yes;https://www.business-humanrights.org/en/abbott-laboratories-statement-regarding-“global-kaletra-campaign”;https://www.business-humanrights.org/en/abbott-laboratories
Abbott Laboratories;Pharmaceutical;USA;Africa: General | Americas: General | Asia & Pacific: General;18;Dec;2007;"Oxfam report ""Investing for Life"": Company responses & Oxfam rejoinder";Poverty/Development/Economic & social rights: General | Access to medicines | Intellectual property;Yes;https://www.business-humanrights.org/en/response-by-abbott-laboratories-oxfam-report-investing-for-life-says-drug-companies-not-doing-enough-to-provide-access-to-medicines-for-the-poor-makes-recommendations-for;https://www.business-humanrights.org/en/abbott-laboratories
Abbott Laboratories;Pharmaceutical;USA;Europe & Central Asia: General;30;May;2007;Abbott & human rights;Access to medicines;No;https://www.business-humanrights.org/en/abbott-laboratories-did-not-respond-to-interfaith-center-on-corporate-responsibility-report-says-abbott-labs-faces-risks-over-access-to-medicines-recommends-adopting-human-rights;https://www.business-humanrights.org/en/abbott-laboratories
Abbott Laboratories;Pharmaceutical;USA;India;29;Nov;2006;"Physicians for Social Justice (Nigeria) critiques company responses to ICCR report ""Benchmarking AIDS""";Health: General (including workplace health & safety) | Access to medicines | HIV/AIDS | Intellectual property;No;https://www.business-humanrights.org/en/abbott-laboratories-did-not-respond-to-physicians-for-social-justice-nigeria-says-companies’-responses-to-interfaith-center-on-corporate-responsibility-report-are-a-“cover”-for;https://www.business-humanrights.org/en/abbott-laboratories
Abbott Laboratories;Pharmaceutical;USA;Africa: General | Guatemala;13;Jul;2005;;Health: General (including workplace health & safety) | Access to medicines | HIV/AIDS | Intellectual property;Yes;https://www.business-humanrights.org/en/response-of-abbott-laboratories-to-concerns-raised-by-médecins-sans-frontières-about-pricing-of-anti-aids-drugs-in-developing-countries;https://www.business-humanrights.org/en/abbott-laboratories
AbbVie;Pharmaceutical;USA;South Africa;10;Mar;2014;Allegations of pharmaceutical group's planned opposition to So. Africa reforms to increase access to medicines;Access to medicines;No;https://www.business-humanrights.org/en/abvie-did-not-respond-to-re-alleged-advocacy-campaign-by-ipasa-opposing-south-africa’s-efforts-to-introduce-intellectual-property-reforms-aimed-at-increasing-access-to-essential;https://www.business-humanrights.org/en/abbvie
ABC Toys;Toy;Taiwan;Mexico;01;Nov;2017;" México: Se derrumba edificio de maquila en Ciudad de México durante sismo; falta información sobre víctimas";Deaths | Women | Access to information;No;https://www.business-humanrights.org/es/abc-toys-no-respondió;https://www.business-humanrights.org/en/abc-toys
Abdi Budi Mulia;Palm trees & oil;Indonesia;Indonesia;12;Dec;2016;Indonésie : Des multinationales utilisent une huile de palme dite « durable », résultat du travail forcé et du travail des enfants, selon Amnesty International;Child labour | Forced labour & modern slavery;No;https://www.business-humanrights.org/fr/non-réponse-abdi-budi-mulia;https://www.business-humanrights.org/en/abdi-budi-mulia
Abdi Budi Mulia;Palm trees & oil;Indonesia;Indonesia;12;Dec;2016;Indonesia: Report links global brands to forced labour & other abuses in palm oil plantations;Forced labour & modern slavery;No;https://www.business-humanrights.org/en/abdi-budi-mulia-non-response;https://www.business-humanrights.org/en/abdi-budi-mulia
Abengoa;Construction;Spain;Mexico;10;Nov;2017;Abengoa responds regarding cases of arrests of defenders in Mexico;Denial of freedom of expression;Yes;https://www.business-humanrights.org/en/abengoa-responds-regarding-cases-of-arrested-defenders-in-mexico-0;https://www.business-humanrights.org/en/abengoa
Abengoa;Construction;Spain;Mexico;05;Oct;2017;México: Represa para el Proyecto Integral Morelos dejarían sin agua a campesinos, según académico;Land rights;Yes;https://www.business-humanrights.org/en/response-by-abengoa-0;https://www.business-humanrights.org/en/abengoa
Abengoa;Construction;Spain;Mexico;10;Feb;2015;Land rights defenders increasingly the target of repressive measures, says the Observatory;Free, prior & informed consent | Land rights;Yes;https://www.business-humanrights.org/en/abengoa-response;https://www.business-humanrights.org/en/abengoa
Abengoa;Construction;Spain;;10;Feb;2015;Land rights defenders increasingly the target of repressive measures, says the Observatory;Arbitrary detention | Beatings & violence | Death threats | Intimidation & threats | Killings | Unfair trial | Indigenous peoples | Free, prior & informed consent | Land rights;Yes;https://www.business-humanrights.org/es/respuesta-de-abengoa;https://www.business-humanrights.org/en/abengoa
Abengoa;Construction;Spain;Americas: General;15;Jan;2014;Informe de Intermón Oxfam da claves para que las empresas españolas en América Latina y otras regiones del mundo respeten las normas sobre empresas y derechos humanos;Tax avoidance;No;https://www.business-humanrights.org/en/abengoa-did-not-respond-to-intermón-oxfam-report-provides-key-points-for-spanish-companies-operating-abroad-to-respect-human-rights-norms-alleges-specifc-human-rights-abuses;https://www.business-humanrights.org/en/abengoa
Abengoa;Construction;Spain;;15;Jan;2014;Informe de Intermón Oxfam da claves para que las empresas españolas en América Latina y otras regiones del mundo respeten las normas sobre empresas y derechos humanos;;No;https://www.business-humanrights.org/en/abengoa-did-not-respond-to-intermón-oxfam-report-provides-key-points-for-spanish-companies-operating-abroad-to-respect-human-rights-norms-alleges-specifichuman-rights-abuses;https://www.business-humanrights.org/en/abengoa
Abercrombie & Fitch;;USA;India;21;Feb;2018;"India: Report finds female migrant workers are subjected to conditions of modern slavery in factories supplying to garment brands; incl. co responses";Labour: General;No;https://www.business-humanrights.org/en/abercrombie-fitch-did-not-respond;https://www.business-humanrights.org/en/abercrombie-fitch
ABN Amro;Finance & banking;Netherlands;;19;May;2014;Report assesses financial institutions' responsibility to respect human rights: Case study on extractives;;Yes;https://www.business-humanrights.org/en/response-by-abn-amro-re-investments-in-extractive-companies-linked-to-rights-abuses;https://www.business-humanrights.org/en/abn-amro
ABN Amro;Finance & banking;Netherlands;;03;Oct;2012;Tax Justice Network reports 2012 - responses & non-responses by banks;Tax avoidance;Yes;https://www.business-humanrights.org/en/response-by-abn-amro-tax-justice-network-alleges-16-banks-aid-the-rich-to-avoid-taxes-leading-to-the-flow-of-capital-out-of-developing-countries;https://www.business-humanrights.org/en/abn-amro
ABN Amro;Finance & banking;Netherlands;;15;Feb;2012;SOMO report re Dutch financial institutions & food speculation;;Yes;https://www.business-humanrights.org/en/response-by-abn-amro-somo-report-re-dutch-financial-institutions-food-speculation;https://www.business-humanrights.org/en/abn-amro
Acacia (formerly African Barrick Gold);Mining;United Kingdom;Tanzania;03;Jul;2018;Tanzania: MiningWatch's video claims Acacia Mining failed to provide redress for women sexually abused at mine;Rape & sexual abuse;Yes;https://www.business-humanrights.org/en/acacias-response-2;https://www.business-humanrights.org/en/acacia-formerly-african-barrick-gold
Acacia (formerly African Barrick Gold);Mining;United Kingdom;Tanzania;21;Nov;2017;"Tanzania: Activists want justice for victims of alleged human rights abuses at Acacia's mine included in govt.'s framework agreement with parent Barrick Gold; company responds";Killings;Yes;https://www.business-humanrights.org/en/acacia-mining-response-3;https://www.business-humanrights.org/en/acacia-formerly-african-barrick-gold
Acacia (formerly African Barrick Gold);Mining;United Kingdom;Tanzania;13;Jul;2017;"Tanzania: NGO calls for compensation to victims of alleged human rights abuses at Acacia's North Mara mine; company responds";Killings;Yes;https://www.business-humanrights.org/en/acacias-response-1;https://www.business-humanrights.org/en/acacia-formerly-african-barrick-gold
Acacia (formerly African Barrick Gold);Mining;United Kingdom;Tanzania;02;May;2017;Tanzania: Govt' official alleges foreign mining companies using loopholes to avoid tax, Acacia & AngloGold Ashanti respond;Tax avoidance;Yes;https://www.business-humanrights.org/en/acacias-response-0;https://www.business-humanrights.org/en/acacia-formerly-african-barrick-gold
Acacia (formerly African Barrick Gold);Mining;United Kingdom;Tanzania;18;Mar;2016;NGO highlights flaws in company complaints mechanisms claiming to follow intl. business & human rights frameworks;Complaints mechanism;Yes;https://www.business-humanrights.org/en/acacia-mining-response-2;https://www.business-humanrights.org/en/acacia-formerly-african-barrick-gold
Acacia (formerly African Barrick Gold);Mining;United Kingdom;Tanzania;18;Feb;2016;"Tanzania: Locals near Acacia Mining's subsidiary allege mine discharging toxic water causing human & livestock's deaths; company denies allegation";Deaths | Poverty/Development/Economic & social rights: General | Access to water;Yes;https://www.business-humanrights.org/en/acacia-mining-response-1;https://www.business-humanrights.org/en/acacia-formerly-african-barrick-gold
Acacia (formerly African Barrick Gold);Mining;United Kingdom;Congo - Democratic Republic of | Tanzania;23;Mar;2015;"RAID calls on govts. to rectify ""serious problems"" in UN Guiding Principles on Business and Human Rights & Voluntary Principles on Security and Human Rights ";Complicity | Killings | Rape & sexual abuse | Security issues & conflict zones: General | Impact assessment;Yes;https://www.business-humanrights.org/en/acacia-mining-response-0;https://www.business-humanrights.org/en/acacia-formerly-african-barrick-gold
Access Asia Mining;Mining;Singapore;Myanmar;14;May;2018;"Myanmar: Report alleges sexual abuse in mining areas protected by military; Access Asia Mining responds";Rape & sexual abuse;Yes;https://www.business-humanrights.org/en/response-by-access-asia-mining;https://www.business-humanrights.org/en/access-asia-mining
Acciona;Construction;Spain;;15;Feb;2012;Informe de Intermón Oxfam da claves para que las empresas españolas en América Latina y otras regiones del mundo respeten las normas sobre empresas y derechos humanos;;No;https://www.business-humanrights.org/en/acciona-did-not-respond-to-intermón-oxfam-report-provides-key-points-for-spanish-companies-operating-abroad-to-respect-human-rights-norms-alleges-specifc-human-rights-abuses;https://www.business-humanrights.org/en/acciona
ACE Group;Insurance;United Kingdom;Myanmar;20;Aug;2008;Burma Campaign report on insurance firms - company responses & non-responses;Complicity;Yes;https://www.business-humanrights.org/en/response-by-ace-group-burma-campaign-uk-says-firms-providing-insurance-to-companies-operating-in-burma-support-dictators;https://www.business-humanrights.org/en/ace-group
Acer;Technology, telecom & electronics;Taiwan;USA;21;Nov;2012;Company responses re lawsuit against SEC over final rule accompanying section 1502 of Dodd-Frank Act;"Security issues & conflict zones: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-acer-global-witness-calls-on-electronics-companies-to-issue-public-statements-outlining-their-position-on-lawsuit-filed-by-business-associations-against-rules-on;https://www.business-humanrights.org/en/acer
Acer;Technology, telecom & electronics;Taiwan;USA;11;Jul;2012;;"Security issues & conflict zones: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-acer-global-witness-enough-project-others-call-on-electronics-automotive-firms-to-make-public-statements-against-us-chamber-of-commerce-position-on-conflict-minerals;https://www.business-humanrights.org/en/acer
Acer;Technology, telecom & electronics;Taiwan;Bahrain;18;Apr;2012;Protests over the Bahrain Grand Prix 2012;Denial of freedom of expression;No;https://www.business-humanrights.org/en/acer-did-not-respond-to-concerns-raised-by-ngos-about-formula-one-and-its-teams-going-ahead-with-the-bahrain-grand-prix-given-the-human-rights-situation-in-the-country;https://www.business-humanrights.org/en/acer
Adaptive Mobile;Technology, telecom & electronics;Ireland;Middle East & No. Africa: General;27;Mar;2012;Dealings by Irish companies in repressive countries raise concerns about business and human rights, says Dr Shane Darcy;Complicity | Privacy;Yes;https://www.business-humanrights.org/en/response-by-adaptive-mobile-dealings-by-companies-in-repressive-countries-raise-concerns-about-business-and-human-rights;https://www.business-humanrights.org/en/adaptive-mobile
